disease,miRNA,disease_idx,miRNA_idx,label
Muscle Atrophy,hsa-mir-146b,244,207,1
Mycobacterium tuberculosis Infection,hsa-mir-146b,248,207,1
Myeloproliferative Neoplasms,hsa-mir-146b,250,207,1
Myotonic Muscular Dystrophy,hsa-mir-146b,348,207,1
Neoplasms,hsa-mir-146b,85,207,1
Neuroblastoma,hsa-mir-146b,363,207,1
Non-Traumatic Osteonecrosis,hsa-mir-146b,468,207,1
Obesity,hsa-mir-146b,87,207,1
Oral Lichen Planus,hsa-mir-146b,318,207,1
Osteoarthritis,hsa-mir-146b,257,207,1
Osteosarcoma,hsa-mir-146b,259,207,1
Otitis Media,hsa-mir-146b,840,207,1
Ovarian Neoplasms,hsa-mir-146b,88,207,1
Pancreatic Neoplasms,hsa-mir-146b,89,207,1
Periodontal Diseases,hsa-mir-146b,610,207,1
Peritoneal Dialysis Failure,hsa-mir-146b,613,207,1
Prostate Neoplasms,hsa-mir-146b,99,207,1
Psoriasis,hsa-mir-146b,267,207,1
Psychiatric Disorders,hsa-mir-146b,405,207,1
Reproductive System Disease,hsa-mir-146b,810,207,1
Schizophrenia,hsa-mir-146b,103,207,1
"Scleroderma, Systemic",hsa-mir-146b,272,207,1
Sepsis,hsa-mir-146b,104,207,1
Sjogren Syndrome,hsa-mir-146b,105,207,1
"Squamous Cell Carcinoma, Esophageal",hsa-mir-146b,109,207,1
"Squamous Cell Carcinoma, Oral",hsa-mir-146b,276,207,1
Stroke,hsa-mir-146b,110,207,1
Synovial Sarcoma,hsa-mir-146b,277,207,1
Thyroid Lymphoma,hsa-mir-146b,818,207,1
Thyroid Neoplasms,hsa-mir-146b,113,207,1
Viral Myocarditis,hsa-mir-146b,326,207,1
Acute Kidney Failure,hsa-mir-182,118,246,1
"Adenocarcinoma, Endometrial",hsa-mir-182,474,246,1
"Adenocarcinoma, Lung",hsa-mir-182,121,246,1
Alcoholic Hepatitis,hsa-mir-182,476,246,1
Arteriosclerosis Obliterans,hsa-mir-182,130,246,1
Atherosclerosis,hsa-mir-182,11,246,1
Autism Spectrum Disorder,hsa-mir-182,12,246,1
Behcet Disease,hsa-mir-182,133,246,1
Bladder Neoplasms,hsa-mir-182,14,246,1
Breast Neoplasms,hsa-mir-182,15,246,1
"Carcinoma, Basal Cell",hsa-mir-182,503,246,1
"Carcinoma, Bladder",hsa-mir-182,138,246,1
"Carcinoma, Breast",hsa-mir-182,139,246,1
"Carcinoma, Breast, Triple Negative",hsa-mir-182,140,246,1
"Carcinoma, Cervical",hsa-mir-182,141,246,1
"Carcinoma, Colon",hsa-mir-182,142,246,1
"Carcinoma, Ehrlich Tumor",hsa-mir-182,826,246,1
"Carcinoma, Endometrial",hsa-mir-182,352,246,1
"Carcinoma, Gallbladder",hsa-mir-182,143,246,1
"Carcinoma, Hepatocellular",hsa-mir-182,18,246,1
"Carcinoma, Lung, Non-Small-Cell",hsa-mir-182,20,246,1
"Carcinoma, Ovarian",hsa-mir-182,150,246,1
"Carcinoma, Ovarian, Serous",hsa-mir-182,151,246,1
"Carcinoma, Pancreatic",hsa-mir-182,152,246,1
"Carcinoma, Prostate",hsa-mir-182,153,246,1
"Carcinoma, Renal Cell",hsa-mir-182,21,246,1
"Carcinoma, Renal Cell, Clear-Cell",hsa-mir-182,155,246,1
"Carcinoma, Thyroid, Medullary",hsa-mir-182,421,246,1
"Carcinoma, Thyroid, Papillary",hsa-mir-182,157,246,1
"Carcinoma, Urothelial, Upper Tract",hsa-mir-182,158,246,1
Cardiotoxicity,hsa-mir-182,755,246,1
Cerebral Ischemia,hsa-mir-182,296,246,1
Choriocarcinoma,hsa-mir-182,27,246,1
Chronic Hepatitis B,hsa-mir-182,28,246,1
Colon Adenoma,hsa-mir-182,356,246,1
Colorectal Adenocarcinoma,hsa-mir-182,170,246,1
Colorectal Carcinoma,hsa-mir-182,30,246,1
Cutaneous Melanoma,hsa-mir-182,173,246,1
"Diabetes Mellitus, Type 2",hsa-mir-182,36,246,1
Early-Stage Non-Small-Cell Lung Carcinoma,hsa-mir-182,182,246,1
Endometrial Neoplasms,hsa-mir-182,183,246,1
Epithelioid Sarcoma,hsa-mir-182,677,246,1
Epstein-Barr Virus Infection,hsa-mir-182,549,246,1
Fatty Liver,hsa-mir-182,303,246,1
"Fatty Liver, Non-Alcoholic",hsa-mir-182,41,246,1
Gastric Neoplasms,hsa-mir-182,42,246,1
Glaucoma,hsa-mir-182,196,246,1
Glioblastoma,hsa-mir-182,43,246,1
Glioma,hsa-mir-182,44,246,1
Heart Failure,hsa-mir-182,47,246,1
Hepatitis C Virus Infection,hsa-mir-182,49,246,1
Human Immunodeficiency Virus Infection,hsa-mir-182,50,246,1
Hyperactivity Disorder,hsa-mir-182,206,246,1
Hypoxic-Ischemic Encephalopathy,hsa-mir-182,53,246,1
Inflammation,hsa-mir-182,211,246,1
Ischemic Diseases,hsa-mir-182,310,246,1
Keratitis,hsa-mir-182,577,246,1
Kidney Injury,hsa-mir-182,221,246,1
Learned Helplessness,hsa-mir-182,764,246,1
"Leukemia, Biphenotypic, Acute",hsa-mir-182,393,246,1
"Leukemia, Myeloid, Acute",hsa-mir-182,60,246,1
"Leukemia, Promyelocytic, Acute",hsa-mir-182,64,246,1
"Leukemia-Lymphoma, Precursor T-Cell Lymphoblastic",hsa-mir-182,67,246,1
Light-Induced Retinal Injury,hsa-mir-182,736,246,1
Liver Injury,hsa-mir-182,228,246,1
Liver Neoplasms,hsa-mir-182,229,246,1
Lung Neoplasms,hsa-mir-182,69,246,1
"Lymphoma, Hodgkin",hsa-mir-182,73,246,1
Medulloblastoma,hsa-mir-182,314,246,1
Melanoma,hsa-mir-182,76,246,1
Mesothelioma,hsa-mir-182,77,246,1
Multiple Myeloma,hsa-mir-182,79,246,1
Neoplasms,hsa-mir-182,85,246,1
Neuroblastoma,hsa-mir-182,363,246,1
Osteosarcoma,hsa-mir-182,259,246,1
Ovarian Neoplasms,hsa-mir-182,88,246,1
Pain,hsa-mir-182,604,246,1
Pancreatic Neoplasms,hsa-mir-182,89,246,1
Peripheral Nerve Injury,hsa-mir-182,612,246,1
Polycythemia Vera,hsa-mir-182,95,246,1
Preeclampsia,hsa-mir-182,96,246,1
Prostate Neoplasms,hsa-mir-182,99,246,1
Retinal Degeneration,hsa-mir-182,100,246,1
Sarcoma,hsa-mir-182,365,246,1
Sensorineural Hearing Loss,hsa-mir-182,406,246,1
Sepsis,hsa-mir-182,104,246,1
"Shock, Septic",hsa-mir-182,812,246,1
Soft Tissue Sarcoma,hsa-mir-182,368,246,1
Spinal Cord Injuries,hsa-mir-182,106,246,1
"Squamous Cell Carcinoma, Head and Neck",hsa-mir-182,273,246,1
"Squamous Cell Carcinoma, Lung",hsa-mir-182,275,246,1
"Squamous Cell Carcinoma, Tongue",hsa-mir-182,429,246,1
Urinary Bladder Cancer,hsa-mir-182,114,246,1
Uterine Leiomyoma,hsa-mir-182,442,246,1
Acute Kidney Failure,hsa-mir-192,118,268,1
"Adenocarcinoma, Cervical",hsa-mir-192,473,268,1
"Adenocarcinoma, Colon",hsa-mir-192,350,268,1
"Adenocarcinoma, Esophageal",hsa-mir-192,351,268,1
"Adenocarcinoma, Gastric-Esophageal Junction",hsa-mir-192,652,268,1
"Adenocarcinoma, Lung",hsa-mir-192,121,268,1
"Adenocarcinoma, Pancreatic Ductal",hsa-mir-192,122,268,1
Alcoholic Hepatitis,hsa-mir-192,476,268,1
Asthma,hsa-mir-192,10,268,1
Atrial Fibrillation,hsa-mir-192,131,268,1
Barrett Esophagus,hsa-mir-192,491,268,1
Bladder Neoplasms,hsa-mir-192,14,268,1
Breast Neoplasms,hsa-mir-192,15,268,1
"Carcinoma, Adrenocortical",hsa-mir-192,16,268,1
"Carcinoma, Colon",hsa-mir-192,142,268,1
"Carcinoma, Hepatocellular",hsa-mir-192,18,268,1
"Carcinoma, Lung",hsa-mir-192,146,268,1
"Carcinoma, Lung, Non-Small-Cell",hsa-mir-192,20,268,1
"Carcinoma, Periampullary",hsa-mir-192,332,268,1
"Carcinoma, Renal Cell",hsa-mir-192,21,268,1
"Carcinoma, Thyroid, Papillary",hsa-mir-192,157,268,1
"Carcinoma, Urothelial",hsa-mir-192,333,268,1
"Cardiomyopathy, Hypertrophic",hsa-mir-192,22,268,1
Celiac Disease,hsa-mir-192,161,268,1
Cholangiocarcinoma,hsa-mir-192,26,268,1
Chondrosarcoma,hsa-mir-192,354,268,1
Choriocarcinoma,hsa-mir-192,27,268,1
Chronic Hepatitis B,hsa-mir-192,28,268,1
Chronic Hepatitis C,hsa-mir-192,166,268,1
Colon Neoplasms,hsa-mir-192,29,268,1
Colorectal Adenocarcinoma,hsa-mir-192,170,268,1
Colorectal Carcinoma,hsa-mir-192,30,268,1
Crohn Disease,hsa-mir-192,32,268,1
"Diabetes Mellitus, Type 2",hsa-mir-192,36,268,1
Diabetic Nephropathy,hsa-mir-192,176,268,1
Esophageal Neoplasms,hsa-mir-192,186,268,1
Gastric Neoplasms,hsa-mir-192,42,268,1
Gastrointestinal Neoplasms,hsa-mir-192,193,268,1
Glioma,hsa-mir-192,44,268,1
Heart Failure,hsa-mir-192,47,268,1
Hepatitis C Virus Infection,hsa-mir-192,49,268,1
Hirschsprung Disease,hsa-mir-192,204,268,1
Inflammation,hsa-mir-192,211,268,1
Influenza,hsa-mir-192,212,268,1
Ischemia-Reperfusion Injury,hsa-mir-192,218,268,1
Kideny Transplant Rejection,hsa-mir-192,54,268,1
Kidney Diseases,hsa-mir-192,220,268,1
Kidney Injury,hsa-mir-192,221,268,1
Kidney Neoplasms,hsa-mir-192,222,268,1
Laryngeal Neoplasms,hsa-mir-192,456,268,1
Liver Diseases,hsa-mir-192,227,268,1
Liver Injury,hsa-mir-192,228,268,1
Lung Neoplasms,hsa-mir-192,69,268,1
Multiple Myeloma,hsa-mir-192,79,268,1
Muscular Dystrophy,hsa-mir-192,246,268,1
Myasthenia Gravis,hsa-mir-192,81,268,1
Neoplasms,hsa-mir-192,85,268,1
Nephrosclerosis,hsa-mir-192,837,268,1
Nephrotic Syndrome,hsa-mir-192,253,268,1
Neuroblastoma,hsa-mir-192,363,268,1
Osteosarcoma,hsa-mir-192,259,268,1
Ovarian Neoplasms,hsa-mir-192,88,268,1
Pancreatic Neoplasms,hsa-mir-192,89,268,1
Peritoneal Dialysis Failure,hsa-mir-192,613,268,1
Pituitary Adenoma,hsa-mir-192,616,268,1
Prediabetes,hsa-mir-192,264,268,1
Pulmonary Sarcoidosis,hsa-mir-192,809,268,1
Renal Fibrosis,hsa-mir-192,419,268,1
Retinoblastoma,hsa-mir-192,101,268,1
Squamous Cell Carcinoma,hsa-mir-192,369,268,1
"Squamous Cell Carcinoma, Esophageal",hsa-mir-192,109,268,1
"Squamous Cell Carcinoma, Lung",hsa-mir-192,275,268,1
Systemic Lupus Erythematosus,hsa-mir-192,112,268,1
"Tuberculosis, Pulmonary",hsa-mir-192,282,268,1
Urinary Bladder Cancer,hsa-mir-192,114,268,1
Acute Kidney Failure,hsa-mir-194,118,273,1
"Adenocarcinoma, Cervical",hsa-mir-194,473,273,1
"Adenocarcinoma, Colon",hsa-mir-194,350,273,1
"Adenocarcinoma, Esophageal",hsa-mir-194,351,273,1
"Adenocarcinoma, Gastric",hsa-mir-194,372,273,1
"Adenocarcinoma, Pancreatic Ductal",hsa-mir-194,122,273,1
Adenovirus Infection,hsa-mir-194,444,273,1
Aneurysm,hsa-mir-194,482,273,1
Aortic Stenosis,hsa-mir-194,7,273,1
Barrett Esophagus,hsa-mir-194,491,273,1
Breast Neoplasms,hsa-mir-194,15,273,1
"Carcinoma, Gallbladder",hsa-mir-194,143,273,1
"Carcinoma, Gastric",hsa-mir-194,144,273,1
"Carcinoma, Hepatocellular",hsa-mir-194,18,273,1
"Carcinoma, Ovarian",hsa-mir-194,150,273,1
"Carcinoma, Prostate",hsa-mir-194,153,273,1
"Carcinoma, Renal Cell",hsa-mir-194,21,273,1
Celiac Disease,hsa-mir-194,161,273,1
Cholangiocarcinoma,hsa-mir-194,26,273,1
Choriocarcinoma,hsa-mir-194,27,273,1
Colon Neoplasms,hsa-mir-194,29,273,1
Colorectal Carcinoma,hsa-mir-194,30,273,1
Digeorge Syndrome,hsa-mir-194,538,273,1
Disease of Metabolism,hsa-mir-194,539,273,1
Epilepsy,hsa-mir-194,185,273,1
Esophageal Neoplasms,hsa-mir-194,186,273,1
Gastric Neoplasms,hsa-mir-194,42,273,1
Gastrointestinal Neoplasms,hsa-mir-194,193,273,1
Glioma,hsa-mir-194,44,273,1
Hepatitis C Virus Infection,hsa-mir-194,49,273,1
Inflammation,hsa-mir-194,211,273,1
Ischemia-Reperfusion Injury,hsa-mir-194,218,273,1
Liver Cirrhosis,hsa-mir-194,226,273,1
Liver Neoplasms,hsa-mir-194,229,273,1
Lung Neoplasms,hsa-mir-194,69,273,1
Lymphoma,hsa-mir-194,71,273,1
Melanoma,hsa-mir-194,76,273,1
Multiple Myeloma,hsa-mir-194,79,273,1
Myelodysplastic Syndromes,hsa-mir-194,82,273,1
Necrotizing Enterocolitis,hsa-mir-194,777,273,1
Osteosarcoma,hsa-mir-194,259,273,1
Peritoneal Dialysis Failure,hsa-mir-194,613,273,1
Polycystic Ovarian Syndrome,hsa-mir-194,94,273,1
Prostate Neoplasms,hsa-mir-194,99,273,1
Psoriasis,hsa-mir-194,267,273,1
Rectum Adenocarcinoma,hsa-mir-194,349,273,1
Squamous Cell Carcinoma,hsa-mir-194,369,273,1
"Squamous Cell Carcinoma, Esophageal",hsa-mir-194,109,273,1
"Squamous Cell Carcinoma, Oral",hsa-mir-194,276,273,1
Acute Kidney Failure,hsa-mir-200a,118,301,1
"Adenocarcinoma, Endometrial",hsa-mir-200a,474,301,1
"Adenocarcinoma, Esophageal",hsa-mir-200a,351,301,1
"Adenocarcinoma, Lung",hsa-mir-200a,121,301,1
Amyotrophic Lateral Sclerosis,hsa-mir-200a,126,301,1
Autoimmune Thyroiditis,hsa-mir-200a,375,301,1
Barrett Esophagus,hsa-mir-200a,491,301,1
Bladder Neoplasms,hsa-mir-200a,14,301,1
Breast Neoplasms,hsa-mir-200a,15,301,1
"Carcinoma, Breast",hsa-mir-200a,139,301,1
"Carcinoma, Breast, Triple Negative",hsa-mir-200a,140,301,1
"Carcinoma, Cervical",hsa-mir-200a,141,301,1
"Carcinoma, Colon",hsa-mir-200a,142,301,1
"Carcinoma, Ehrlich Tumor",hsa-mir-200a,826,301,1
"Carcinoma, Endometrial",hsa-mir-200a,352,301,1
"Carcinoma, Endometrioid Endometrial",hsa-mir-200a,353,301,1
"Carcinoma, Esophageal",hsa-mir-200a,17,301,1
"Carcinoma, Gastric",hsa-mir-200a,144,301,1
"Carcinoma, Hepatocellular",hsa-mir-200a,18,301,1
"Carcinoma, Hepatocellular, HBV-Related",hsa-mir-200a,19,301,1
"Carcinoma, Lung",hsa-mir-200a,146,301,1
"Carcinoma, Lung, Non-Small-Cell",hsa-mir-200a,20,301,1
"Carcinoma, Nasopharyngeal",hsa-mir-200a,148,301,1
"Carcinoma, Oral",hsa-mir-200a,149,301,1
"Carcinoma, Pancreatic",hsa-mir-200a,152,301,1
"Carcinoma, Prostate",hsa-mir-200a,153,301,1
"Carcinoma, Renal Cell",hsa-mir-200a,21,301,1
"Carcinoma, Renal Cell, Clear-Cell",hsa-mir-200a,155,301,1
"Carcinoma, Thyroid, Anaplastic",hsa-mir-200a,510,301,1
"Carcinoma, Thyroid, Papillary",hsa-mir-200a,157,301,1
"Cardiomyopathy, Ischemic",hsa-mir-200a,449,301,1
Cervical Neoplasms,hsa-mir-200a,163,301,1
Cervix Endometrial Stromal Tumor,hsa-mir-200a,514,301,1
Cholangiocarcinoma,hsa-mir-200a,26,301,1
Choriocarcinoma,hsa-mir-200a,27,301,1
Colon Neoplasms,hsa-mir-200a,29,301,1
Colorectal Carcinoma,hsa-mir-200a,30,301,1
Diabetes Mellitus,hsa-mir-200a,34,301,1
"Diabetes Mellitus, Type 2",hsa-mir-200a,36,301,1
Diabetic Nephropathy,hsa-mir-200a,176,301,1
Endocrine Gland Neoplasms,hsa-mir-200a,759,301,1
Endometrial Neoplasms,hsa-mir-200a,183,301,1
Endometriosis,hsa-mir-200a,38,301,1
Esophageal Neoplasms,hsa-mir-200a,186,301,1
"Fatty Liver, Non-Alcoholic",hsa-mir-200a,41,301,1
Gastric Neoplasms,hsa-mir-200a,42,301,1
Gastrointestinal Neoplasms,hsa-mir-200a,193,301,1
Glioma,hsa-mir-200a,44,301,1
Glomerulonephritis,hsa-mir-200a,45,301,1
Hepatitis B Virus Infection,hsa-mir-200a,201,301,1
Hepatitis C Virus Infection,hsa-mir-200a,49,301,1
Hereditary Breast Carcinoma,hsa-mir-200a,203,301,1
Huntington Disease,hsa-mir-200a,205,301,1
Learned Helplessness,hsa-mir-200a,764,301,1
Leiomyoma,hsa-mir-200a,693,301,1
"Leukemia, Myeloid, Chronic",hsa-mir-200a,62,301,1
Liver Cirrhosis,hsa-mir-200a,226,301,1
Liver Diseases,hsa-mir-200a,227,301,1
Liver Injury,hsa-mir-200a,228,301,1
Liver Neoplasms,hsa-mir-200a,229,301,1
Lung Neoplasms,hsa-mir-200a,69,301,1
Lymphoma,hsa-mir-200a,71,301,1
Melanoma,hsa-mir-200a,76,301,1
Meningioma,hsa-mir-200a,586,301,1
Multiple Sclerosis,hsa-mir-200a,80,301,1
Neoplasms,hsa-mir-200a,85,301,1
Nephrosclerosis,hsa-mir-200a,837,301,1
Neuroblastoma,hsa-mir-200a,363,301,1
Obesity,hsa-mir-200a,87,301,1
Ovarian Neoplasms,hsa-mir-200a,88,301,1
Pancreatic Neoplasms,hsa-mir-200a,89,301,1
Peritoneal Dialysis Failure,hsa-mir-200a,613,301,1
Prostate Neoplasms,hsa-mir-200a,99,301,1
Pterygium,hsa-mir-200a,418,301,1
Retinoblastoma,hsa-mir-200a,101,301,1
Sarcoma,hsa-mir-200a,365,301,1
"Squamous Cell Carcinoma, Esophageal",hsa-mir-200a,109,301,1
"Squamous Cell Carcinoma, Head and Neck",hsa-mir-200a,273,301,1
"Squamous Cell Carcinoma, Oral",hsa-mir-200a,276,301,1
Systemic Lupus Erythematosus,hsa-mir-200a,112,301,1
Thyroid Neoplasms,hsa-mir-200a,113,301,1
Urinary Bladder Cancer,hsa-mir-200a,114,301,1
Acute Kidney Failure,hsa-mir-200b,118,302,1
"Adenocarcinoma, Endometrial",hsa-mir-200b,474,302,1
"Adenocarcinoma, Lung",hsa-mir-200b,121,302,1
"Adenocarcinoma, Pancreatic Ductal",hsa-mir-200b,122,302,1
Adrenal Cortex Neoplasms,hsa-mir-200b,123,302,1
Aortic Stenosis,hsa-mir-200b,7,302,1
Barrett Esophagus,hsa-mir-200b,491,302,1
Biliary Atresia,hsa-mir-200b,493,302,1
Bladder Neoplasms,hsa-mir-200b,14,302,1
Breast Neoplasms,hsa-mir-200b,15,302,1
"Carcinoma, Adrenocortical",hsa-mir-200b,16,302,1
"Carcinoma, Breast",hsa-mir-200b,139,302,1
"Carcinoma, Breast, Triple Negative",hsa-mir-200b,140,302,1
"Carcinoma, Cervical",hsa-mir-200b,141,302,1
"Carcinoma, Colon",hsa-mir-200b,142,302,1
"Carcinoma, Ehrlich Tumor",hsa-mir-200b,826,302,1
"Carcinoma, Endometrial",hsa-mir-200b,352,302,1
"Carcinoma, Endometrioid Endometrial",hsa-mir-200b,353,302,1
"Carcinoma, Gastric",hsa-mir-200b,144,302,1
"Carcinoma, Hepatocellular",hsa-mir-200b,18,302,1
"Carcinoma, Lung",hsa-mir-200b,146,302,1
"Carcinoma, Lung, Non-Small-Cell",hsa-mir-200b,20,302,1
"Carcinoma, Nasopharyngeal",hsa-mir-200b,148,302,1
"Carcinoma, Ovarian",hsa-mir-200b,150,302,1
"Carcinoma, Pancreatic",hsa-mir-200b,152,302,1
"Carcinoma, Prostate",hsa-mir-200b,153,302,1
"Carcinoma, Renal Cell",hsa-mir-200b,21,302,1
"Carcinoma, Renal Cell, Clear-Cell",hsa-mir-200b,155,302,1
"Carcinoma, Urothelial, Upper Tract",hsa-mir-200b,158,302,1
Cervical Neoplasms,hsa-mir-200b,163,302,1
Cholangiocarcinoma,hsa-mir-200b,26,302,1
Chondrosarcoma,hsa-mir-200b,354,302,1
Choriocarcinoma,hsa-mir-200b,27,302,1
Chronic Obstructive Pulmonary Disease,hsa-mir-200b,168,302,1
Colitis,hsa-mir-200b,423,302,1
Colon Neoplasms,hsa-mir-200b,29,302,1
Colorectal Carcinoma,hsa-mir-200b,30,302,1
Congenital Diaphragmatic Hernia,hsa-mir-200b,451,302,1
Crohn Disease,hsa-mir-200b,32,302,1
"Cytotoxicity Tests, Immunologic",hsa-mir-200b,433,302,1
Diabetes Mellitus,hsa-mir-200b,34,302,1
"Diabetes Mellitus, Type 2",hsa-mir-200b,36,302,1
Diabetic Nephropathy,hsa-mir-200b,176,302,1
Diabetic Retinopathy,hsa-mir-200b,300,302,1
Endocrine Gland Neoplasms,hsa-mir-200b,759,302,1
Endometrial Neoplasms,hsa-mir-200b,183,302,1
Endometriosis,hsa-mir-200b,38,302,1
"Fatty Liver, Non-Alcoholic",hsa-mir-200b,41,302,1
Gastric Neoplasms,hsa-mir-200b,42,302,1
Gastrointestinal Neoplasms,hsa-mir-200b,193,302,1
Glioblastoma,hsa-mir-200b,43,302,1
Glioma,hsa-mir-200b,44,302,1
Glomerulonephritis,hsa-mir-200b,45,302,1
Graft-Versus-Host Disease,hsa-mir-200b,197,302,1
Hepatitis B Virus Infection,hsa-mir-200b,201,302,1
Hepatitis C Virus Infection,hsa-mir-200b,49,302,1
Hereditary Breast Carcinoma,hsa-mir-200b,203,302,1
Hypertrophic Scar,hsa-mir-200b,436,302,1
Inflammatory Bowel Diseases,hsa-mir-200b,466,302,1
Kideny Transplant Rejection,hsa-mir-200b,54,302,1
Learned Helplessness,hsa-mir-200b,764,302,1
Liver Cirrhosis,hsa-mir-200b,226,302,1
Liver Diseases,hsa-mir-200b,227,302,1
Liver Neoplasms,hsa-mir-200b,229,302,1
Lung Neoplasms,hsa-mir-200b,69,302,1
Lymphoma,hsa-mir-200b,71,302,1
Malignant Neoplasms,hsa-mir-200b,341,302,1
Melanoma,hsa-mir-200b,76,302,1
Neoplasms,hsa-mir-200b,85,302,1
Nephrosclerosis,hsa-mir-200b,837,302,1
Obesity,hsa-mir-200b,87,302,1
Osteosarcoma,hsa-mir-200b,259,302,1
Ovarian Neoplasms,hsa-mir-200b,88,302,1
Pancreatic Neoplasms,hsa-mir-200b,89,302,1
Periodontitis,hsa-mir-200b,611,302,1
Peritoneal Dialysis Failure,hsa-mir-200b,613,302,1
Prolactinoma,hsa-mir-200b,771,302,1
Prostate Neoplasms,hsa-mir-200b,99,302,1
Pterygium,hsa-mir-200b,418,302,1
Retinal Degeneration,hsa-mir-200b,100,302,1
Retinal Vascular Disease,hsa-mir-200b,626,302,1
Sarcoma,hsa-mir-200b,365,302,1
"Squamous Cell Carcinoma, Esophageal",hsa-mir-200b,109,302,1
"Squamous Cell Carcinoma, Head and Neck",hsa-mir-200b,273,302,1
"Squamous Cell Carcinoma, Oral",hsa-mir-200b,276,302,1
"Stroke, Ischemic",hsa-mir-200b,111,302,1
Systemic Lupus Erythematosus,hsa-mir-200b,112,302,1
Thyroid Neoplasms,hsa-mir-200b,113,302,1
Tongue Neoplasms,hsa-mir-200b,324,302,1
Urinary Bladder Cancer,hsa-mir-200b,114,302,1
Acute Kidney Failure,hsa-mir-200c,118,303,1
"Adenocarcinoma, Endometrial",hsa-mir-200c,474,303,1
"Adenocarcinoma, Lung",hsa-mir-200c,121,303,1
"Adenocarcinoma, Pancreatic Ductal",hsa-mir-200c,122,303,1
"Adenocarcinoma, Sebaceous",hsa-mir-200c,780,303,1
Alzheimer Disease,hsa-mir-200c,5,303,1
Asthma,hsa-mir-200c,10,303,1
Autoimmune Diseases,hsa-mir-200c,290,303,1
Barrett Esophagus,hsa-mir-200c,491,303,1
Bladder Neoplasms,hsa-mir-200c,14,303,1
Breast Neoplasms,hsa-mir-200c,15,303,1
"Carcinoma, Adrenocortical",hsa-mir-200c,16,303,1
"Carcinoma, Breast",hsa-mir-200c,139,303,1
"Carcinoma, Breast, Triple Negative",hsa-mir-200c,140,303,1
"Carcinoma, Colon",hsa-mir-200c,142,303,1
"Carcinoma, Endometrial",hsa-mir-200c,352,303,1
"Carcinoma, Endometrioid Endometrial",hsa-mir-200c,353,303,1
"Carcinoma, Esophageal",hsa-mir-200c,17,303,1
"Carcinoma, Gastric",hsa-mir-200c,144,303,1
"Carcinoma, Gastrooesophageal",hsa-mir-200c,504,303,1
"Carcinoma, Hepatocellular",hsa-mir-200c,18,303,1
"Carcinoma, Lung",hsa-mir-200c,146,303,1
"Carcinoma, Lung, Non-Small-Cell",hsa-mir-200c,20,303,1
"Carcinoma, Nasopharyngeal",hsa-mir-200c,148,303,1
"Carcinoma, Oral",hsa-mir-200c,149,303,1
"Carcinoma, Ovarian",hsa-mir-200c,150,303,1
"Carcinoma, Pancreatic",hsa-mir-200c,152,303,1
"Carcinoma, Rectal",hsa-mir-200c,154,303,1
"Carcinoma, Renal Cell",hsa-mir-200c,21,303,1
"Carcinoma, Renal Cell, Clear-Cell",hsa-mir-200c,155,303,1
Cardiovascular Diseases,hsa-mir-200c,23,303,1
Cholangiocarcinoma,hsa-mir-200c,26,303,1
Chronic Hepatitis B,hsa-mir-200c,28,303,1
"Colitis, Ulcerative",hsa-mir-200c,169,303,1
Colon Neoplasms,hsa-mir-200c,29,303,1
Colorectal Carcinoma,hsa-mir-200c,30,303,1
Congenital Microtia,hsa-mir-200c,668,303,1
Crohn Disease,hsa-mir-200c,32,303,1
"Cytotoxicity Tests, Immunologic",hsa-mir-200c,433,303,1
Diabetes Mellitus,hsa-mir-200c,34,303,1
Diabetic Nephropathy,hsa-mir-200c,176,303,1
Endocrine Gland Neoplasms,hsa-mir-200c,759,303,1
Endometrial Neoplasms,hsa-mir-200c,183,303,1
Endometriosis,hsa-mir-200c,38,303,1
Esophageal Neoplasms,hsa-mir-200c,186,303,1
Gastric Neoplasms,hsa-mir-200c,42,303,1
Gastrointestinal Neoplasms,hsa-mir-200c,193,303,1
Glioblastoma,hsa-mir-200c,43,303,1
Glioma,hsa-mir-200c,44,303,1
Head And Neck Neoplasms,hsa-mir-200c,198,303,1
Heart Failure,hsa-mir-200c,47,303,1
Hepatitis B Virus Infection,hsa-mir-200c,201,303,1
Hereditary Breast Carcinoma,hsa-mir-200c,203,303,1
Huntington Disease,hsa-mir-200c,205,303,1
Inflammatory Bowel Diseases,hsa-mir-200c,466,303,1
Interstitial Lung Disease,hsa-mir-200c,214,303,1
Kawasaki Syndrome,hsa-mir-200c,311,303,1
Kidney Injury,hsa-mir-200c,221,303,1
Kidney Neoplasms,hsa-mir-200c,222,303,1
Learned Helplessness,hsa-mir-200c,764,303,1
Leiomyoma,hsa-mir-200c,693,303,1
Liver Diseases,hsa-mir-200c,227,303,1
Liver Neoplasms,hsa-mir-200c,229,303,1
Lung Fibrosis,hsa-mir-200c,68,303,1
Lung Neoplasms,hsa-mir-200c,69,303,1
Lupus Vulgaris,hsa-mir-200c,70,303,1
Lymphoma,hsa-mir-200c,71,303,1
"Lymphoma, Large B-Cell, Diffuse",hsa-mir-200c,234,303,1
Malignant Neoplasms,hsa-mir-200c,341,303,1
Melanoma,hsa-mir-200c,76,303,1
Neoplasms,hsa-mir-200c,85,303,1
Osteosarcoma,hsa-mir-200c,259,303,1
Ovarian Neoplasms,hsa-mir-200c,88,303,1
Pancreatic Neoplasms,hsa-mir-200c,89,303,1
Pituitary Adenoma,hsa-mir-200c,616,303,1
